일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2023/04/28","3440","20","0.58","3400","3455","3400","73809","252866660","192488240960","55955884"
"2023/04/27","3420","-85","-2.43","3475","3515","3400","84136","289698540","191369123280","55955884"
"2023/04/26","3505","-15","-0.43","3560","3565","3480","29644","103810825","196125373420","55955884"
"2023/04/25","3520","-5","-0.14","3525","3530","3495","71653","251005660","196964711680","55955884"
"2023/04/24","3525","-50","-1.40","3580","3590","3500","65168","229004865","197244491100","55955884"
"2023/04/21","3575","10","0.28","3565","3590","3530","30914","109978390","200042285300","55955884"
"2023/04/20","3565","-10","-0.28","3575","3585","3525","56786","201953430","199482726460","55955884"
"2023/04/19","3575","-40","-1.11","3640","3640","3560","52579","188066985","200042285300","55955884"
"2023/04/18","3615","15","0.42","3600","3630","3565","62696","225194010","202280520660","55955884"
"2023/04/17","3600","-5","-0.14","3620","3620","3555","53070","189837925","201441182400","55955884"
"2023/04/14","3605","0","0.00","3560","3620","3555","66466","238367635","201720961820","55955884"
"2023/04/13","3605","35","0.98","3570","3605","3525","33626","120156280","201720961820","55955884"
"2023/04/12","3570","35","0.99","3580","3585","3515","68631","243541640","199762505880","55955884"
"2023/04/11","3535","-25","-0.70","3720","3720","3510","286527","1017144075","197804049940","55955884"
"2023/04/10","3560","-125","-3.39","3685","3695","3550","96885","349001780","199202947040","55955884"
"2023/04/07","3685","-55","-1.47","3745","3750","3675","35008","129530655","206197432540","55955884"
"2023/04/06","3740","20","0.54","3720","3740","3680","17514","64728410","209275006160","55955884"
"2023/04/05","3720","0","0.00","3740","3755","3690","41122","152442370","208155888480","55955884"
"2023/04/04","3720","0","0.00","3760","3770","3700","42303","157061180","208155888480","55955884"
"2023/04/03","3720","-20","-0.53","3795","3840","3695","33095","122984795","208155888480","55955884"
"2023/03/31","3740","85","2.33","3680","3760","3650","36781","135769350","209275006160","55955884"
"2023/03/30","3655","-5","-0.14","3690","3690","3610","28437","103329445","204518756020","55955884"
"2023/03/29","3660","-45","-1.21","3710","3720","3605","51778","190013120","204798535440","55955884"
"2023/03/28","3705","-90","-2.37","3795","3835","3650","100199","371920420","207316550220","55955884"
"2023/03/27","3795","-140","-3.56","3950","3950","3755","45634","173631475","212352579780","55955884"
"2023/03/24","3935","-45","-1.13","3995","3995","3910","10243","40287080","220186403540","55955884"
"2023/03/23","3980","-35","-0.87","4025","4025","3900","36673","144370900","222704418320","55955884"
"2023/03/22","4015","-10","-0.25","4050","4050","3950","31749","127057225","224662874260","55955884"
